code,regency_code,province_code,name,latitude,longitude,coordinates
140511,1405,14,"Bandar Sei Kijang",,,null
140718,1407,14,"Balai Jaya",,,null
140803,1408,14,Minas,,,null
147108,1471,14,Binawidya,,,null
140206,1402,14,Siberida,,,null
140208,1402,14,"Batang Gangsal",,,null
140210,1402,14,"Kuala Cenaku",,,null
140302,1403,14,Bantan,,,null
140403,1404,14,"Kuala Indragiri",,,null
140405,1404,14,Tempuling,,,null
140417,1404,14,"Pulau Burung",,,null
140613,1406,14,"Bonai Darussalam",,,null
140911,1409,14,Inuman,,,null
147207,1472,14,"Dumai Selatan",,,null
140113,1401,14,Salo,,,null
140716,1407,14,"Tanjung Medan",,,null
140807,1408,14,"Kerinci Kanan",,,null
140904,1409,14,"Kuantan Hilir",,,null
147105,1471,14,Senapelan,,,null
147110,1471,14,"Tenayan Raya",,,null
140103,1401,14,Tambang,,,null
140207,1402,14,"Batang Cenaku",,,null
140501,1405,14,Ukui,,,null
140714,1407,14,Pekaitan,,,null
140811,1408,14,"Lubuk Dalam",,,null
141005,1410,14,Merbau,,,null
140203,1402,14,Kelayang,,,null
140605,1406,14,Kepenuhan,,,null
140702,1407,14,Bangko,,,null
147202,1472,14,"Dumai Timur",,,null
140116,1401,14,"Perhentian Raja",,,null
140504,1405,14,"Pangkalan Lesung",,,null
140606,1406,14,"Kunto Darussalam",,,null
140608,1406,14,"Rambah Hilir",,,null
140808,1408,14,"Bunga Raya",,,null
140315,1403,14,"Talang Muandau",,,null
140604,1406,14,Tambusai,,,null
147103,1471,14,Sail,,,null
147205,1472,14,"Medang Kampai",,,null
140204,1402,14,"Pasir Penyu",,,null
140507,1405,14,Kerumutan,,,null
140802,1408,14,"Sungai Apit",,,null
140912,1409,14,"Hulu Kuantan",,,null
140114,1401,14,"Rumbio Jaya",,,null
140212,1402,14,"Lubuk Batu Jaya",,,null
140410,1404,14,"Tanah Merah",,,null
140705,1407,14,"Bagan Sinembah",,,null
140814,1408,14,Pusako,,,null
147114,1471,14,Kulim,,,null
140301,1403,14,Bengkalis,,,null
140314,1403,14,"Bandar Laksamana",,,null
140806,1408,14,Dayun,,,null
147106,1471,14,"Rumbai Barat",,,null
140310,1403,14,Rupat,,,null
140715,1407,14,"Kubu Babussalam",,,null
140107,1401,14,"Kampar Kiri",,,null
140401,1404,14,Reteh,,,null
140409,1404,14,Keritang,,,null
140607,1406,14,"Rambah Samo",,,null
140211,1402,14,"Sungai Lala",,,null
140610,1406,14,"Bangun Purba",,,null
140902,1409,14,"Kuantan Tengah",,,null
147109,1471,14,"Marpoyan Damai",,,null
140612,1406,14,Kabun,,,null
141003,1410,14,Rangsang,,,null
141008,1410,14,"Tasik Putri Puyu",,,null
140105,1401,14,Kuok,,,null
140115,1401,14,Bangkinang,,,null
140117,1401,14,Kampa,,,null
140205,1402,14,Peranap,,,null
140503,1405,14,"Pangkalan Kuras",,,null
140708,1407,14,Pujud,,,null
140711,1407,14,"Simpang Kanan",,,null
140804,1408,14,Tualang,,,null
141001,1410,14,"Tebing Tinggi",,,null
140109,1401,14,"Kampar Kiri Hulu",,,null
140118,1401,14,"Kampar Utara",,,null
140502,1405,14,"Pangkalan Kerinci",,,null
140509,1405,14,"Teluk Meranti",,,null
140616,1406,14,"Pendalian IV Koto",,,null
140104,1401,14,"XIII Koto Kampar",,,null
140112,1401,14,"Tapung Hulu",,,null
140202,1402,14,"Rengat Barat",,,null
140416,1404,14,"Teluk Belengkong",,,null
140506,1405,14,Pelalawan,,,null
140615,1406,14,"Kepenuhan Hulu",,,null
140908,1409,14,"Singingi Hilir",,,null
147107,1471,14,"Bukit Raya",,,null
147201,1472,14,"Dumai Barat",,,null
140120,1401,14,"Gunung Sahilan",,,null
140909,1409,14,Pangean,,,null
147104,1471,14,"Lima Puluh",,,null
140406,1404,14,"Gaung Anak Serka",,,null
140408,1404,14,Kateman,,,null
140602,1406,14,"Rokan IV Koto",,,null
140913,1409,14,"Kuantan Hilir Seberang",,,null
147204,1472,14,"Sungai Sembilan",,,null
147206,1472,14,"Dumai Kota",,,null
140101,1401,14,"Bangkinang Kota",,,null
140614,1406,14,"Pagaran Tapah Darussalam",,,null
140413,1404,14,"Tembilahan Hulu",,,null
140419,1404,14,Kempas,,,null
140713,1407,14,"Rantau Kopar",,,null
140907,1409,14,Gunungtoar,,,null
141004,1410,14,"Tebing Tinggi Barat",,,null
147102,1471,14,"Pekanbaru Kota",,,null
147112,1471,14,Rumbai,,,null
147113,1471,14,Tuahmadani,,,null
