code,district_code,regency_code,province_code,name,latitude,longitude,coordinates
1601092010,160109,1601,16,Peninjauan,,,null
1601141012,160114,1601,16,"Sepancar Lawang Kulon",,,null
1601212010,160121,1601,16,"Keban Agung",,,null
1601282004,160128,1601,16,"Pagar Dewa",,,null
1602022033,160202,1602,16,"Tanjung Harapan",,,null
1602032006,160203,1602,16,"Pedamaran II",,,null
1602052019,160205,1602,16,Anyar,,,null
1602082005,160208,1602,16,"Mangun Jaya",,,null
1602082019,160208,1602,16,"Batu Ampar Baru",,,null
1602112008,160211,1602,16,Petaling,,,null
1602112020,160211,1602,16,"Rantau Lurus",,,null
1602122013,160212,1602,16,Serimenang,,,null
1602132009,160213,1602,16,Bumiagung,,,null
1602222013,160222,1602,16,"Purwo Asri",,,null
1602242007,160224,1602,16,"Kayu Labu",,,null
1603021007,160302,1603,16,"Pasar II Muara Enim",,,null
1603032006,160303,1603,16,Gerinam,,,null
1603032021,160303,1603,16,"Aur Duri",,,null
1603112007,160311,1603,16,Guci,,,null
1603152009,160315,1603,16,"Marga Mulya",,,null
1603162007,160316,1603,16,"Muara Lematang",,,null
1603222002,160322,1603,16,"Arisan Musi",,,null
1603272003,160327,1603,16,"Pagar Jati",,,null
1604062014,160406,1604,16,Kedaton,,,null
1604092025,160409,1604,16,"Muara Maung",,,null
1604101043,160410,1604,16,"RD. PJKA",,,null
1604101059,160410,1604,16,"Bandar Jaya",,,null
1604102057,160410,1604,16,"Ulak Mas",,,null
1604122007,160412,1604,16,"Kota Raya Lembak",,,null
1604152007,160415,1604,16,"Pajar Bulan",,,null
1604152009,160415,1604,16,"Karang Lebak",,,null
1604162010,160416,1604,16,"Tanjung Beringin",,,null
1604172023,160417,1604,16,Sendawar,,,null
1604182003,160418,1604,16,"Tanjung Baru",,,null
1604192010,160419,1604,16,Singapura,,,null
1604192017,160419,1604,16,"Mekar Jaya",,,null
1604232007,160423,1604,16,Sengkuang,,,null
1604232011,160423,1604,16,"Tanjung Jambu",,,null
1605022007,160502,1605,16,"Prabumulih II",,,null
1605032023,160503,1605,16,"Karya Mukti",,,null
1605132010,160513,1605,16,Purwakarya,,,null
1605202009,160520,1605,16,"Air Beliti",,,null
1606072008,160607,1606,16,"Sumber Rejeki",,,null
1606091065,160609,1606,16,"Bayung Lencir Indah",,,null
1606122006,160612,1606,16,"Sumber Harum",,,null
1606142002,160614,1606,16,Letang,,,null
1606152004,160615,1606,16,"Jembatan Gantung",,,null
1607012004,160701,1607,16,Perajen,,,null
1607042013,160704,1607,16,"Rukun Makmur",,,null
1607082026,160708,1607,16,"Upang Jaya",,,null
1607112020,160711,1607,16,Sungaililin,,,null
1607192003,160719,1607,16,Sidomulyo,,,null
1607212003,160721,1607,16,"Sumber Mukti",,,null
1607212005,160721,1607,16,Wonodadi,,,null
1608032007,160803,1608,16,"Sido Mulyo",,,null
1608072007,160807,1608,16,"SP. Kerta Mulya",,,null
1608132006,160813,1608,16,"Karya Makmur",,,null
1608172009,160817,1608,16,"Karya Makmur",,,null
1608172011,160817,1608,16,Magugondo,,,null
1609032024,160903,1609,16,Surabaya,,,null
1609042029,160904,1609,16,Sukaraja,,,null
1609102014,160910,1609,16,"Ulak Pandan",,,null
1609122004,160912,1609,16,Jepara,,,null
1609122017,160912,1609,16,"Simpang Sender Utara",,,null
1609132010,160913,1609,16,"Segigok Raya",,,null
1609182002,160918,1609,16,Kuripan,,,null
1609182006,160918,1609,16,"Kota Agung",,,null
1609192007,160919,1609,16,Bendi,,,null
1609192008,160919,1609,16,Pekuolan,,,null
1610032022,161003,1610,16,"Siring Alam",,,null
1610062020,161006,1610,16,"Sanding Marga",,,null
1610082007,161008,1610,16,"Meranjat I",,,null
1610092011,161009,1610,16,"S. Lebung Ulu",,,null
1610152010,161015,1610,16,"Talang Tengah Laut",,,null
1610162008,161016,1610,16,"Paya Besar",,,null
1611052010,161105,1611,16,"Rantau Aleh",,,null
1611052016,161105,1611,16,"Lubuk Tapang",,,null
1611102004,161110,1611,16,"Karang Caya",,,null
1611102007,161110,1611,16,"Air Kandis",,,null
1612022007,161202,1612,16,Tempirai,,,null
1612032007,161203,1612,16,"Air Itam Timur",,,null
1613012001,161301,1613,16,"Tanjung Beringin",,,null
1613012003,161301,1613,16,"Batu Gajah",,,null
1613012009,161301,1613,16,Pantai,,,null
1613022006,161302,1613,16,"Sungai Baung",,,null
1613022007,161302,1613,16,"Sungai Jauh",,,null
1671021003,167102,1671,16,"2 Ulu",,,null
1671091006,167109,1671,16,"Talang Aman",,,null
1671101004,167110,1671,16,"Sei Selincah",,,null
1672031019,167203,1672,16,"Muara Siban",,,null
1673021010,167302,1673,16,"Muara Enim",,,null
1674061002,167406,1674,16,"Tanjung Raman",,,null
1601072010,160107,1601,16,"Mekar Jaya",,,null
1601092006,160109,1601,16,"Lubuk Rukam",,,null
1601202002,160120,1601,16,"Gunung Tiga",,,null
1601202005,160120,1601,16,Pedataran,,,null
1601202006,160120,1601,16,Sukajadi,,,null
1601282006,160128,1601,16,Tanjunglengkayap,,,null
1602052014,160205,1602,16,"Arisan Buntal",,,null
1602082011,160208,1602,16,"Sirah Pulau Padang",,,null
1602082012,160208,1602,16,"Serdang Menang",,,null
1602112012,160211,1602,16,"Lebung Itam",,,null
1602112018,160211,1602,16,"Simpang Tiga Sakti",,,null
1602122036,160212,1602,16,"Ulak Pianggu",,,null
1602192004,160219,1602,16,"Lebung Batang",,,null
1603012015,160301,1603,16,"Pandan Enim",,,null
1603012018,160301,1603,16,"Tanjung Agung",,,null
1603012021,160301,1603,16,Seleman,,,null
1603062026,160306,1603,16,"Talang Taling",,,null
1603142010,160314,1603,16,"Tanjung Kemala",,,null
1603152004,160315,1603,16,"Tanjung Dalam",,,null
1603162001,160316,1603,16,"Tanjung Miring",,,null
1603162005,160316,1603,16,Sukamerindu,,,null
1603212004,160321,1603,16,"Suban Baru",,,null
1603212005,160321,1603,16,Pelempang,,,null
1603242009,160324,1603,16,Ibul,,,null
1603272011,160327,1603,16,"Padang Bindu",,,null
1604012012,160401,1604,16,"Gunung Raya",,,null
1604082009,160408,1604,16,"Pulau Pinang",,,null
1604162006,160416,1604,16,"Beriningin Jaya",,,null
1604162011,160416,1604,16,"Pagar Jati",,,null
1604172001,160417,1604,16,"Bunga Mas",,,null
1604212003,160421,1604,16,"Tanjung Karangan",,,null
1604222011,160422,1604,16,"Siring Agung",,,null
1604222014,160422,1604,16,"Germidar Ilir",,,null
1604262005,160426,1604,16,"Tanjung Beringin",,,null
1604272002,160427,1604,16,"Tanjung Kurung Ulu",,,null
1604272012,160427,1604,16,"Muara Danau",,,null
1604292010,160429,1604,16,"Tanjung Agung",,,null
1604312009,160431,1604,16,"Talang Sawah",,,null
1605011001,160501,1605,16,"B. Srikaton",,,null
1605032014,160503,1605,16,"Lubuk Tua",,,null
1605032027,160503,1605,16,"Temuan Sari",,,null
1605092004,160509,1605,16,"Mana Resmi",,,null
1605182001,160518,1605,16,"Lubuk Besar",,,null
1605202006,160520,1605,16,Remayu,,,null
1606072007,160607,1606,16,"Sri Gunung",,,null
