code,regency_code,province_code,name
350101,3501,35,Donorojo
350102,3501,35,Pringkuku
350103,3501,35,Punung
350104,3501,35,Pacitan
350105,3501,35,Kebonagung
350106,3501,35,Arjosari
350107,3501,35,Nawangan
350108,3501,35,Bandar
350109,3501,35,Tegalombo
350110,3501,35,Tulakan
350111,3501,35,Ngadirojo
350112,3501,35,Sudimoro
350201,3502,35,Slahung
350202,3502,35,Ngrayun
350203,3502,35,Bungkal
350204,3502,35,Sambit
350205,3502,35,Sawoo
350206,3502,35,Sooko
350207,3502,35,Pulung
350208,3502,35,Mlarak
350209,3502,35,Jetis
350210,3502,35,Siman
350211,3502,35,Balong
350212,3502,35,Kauman
350213,3502,35,Badegan
350214,3502,35,Sampung
350215,3502,35,Sukorejo
350216,3502,35,Babadan
350217,3502,35,Ponorogo
350218,3502,35,Jenangan
350219,3502,35,Ngebel
350220,3502,35,Jambon
350221,3502,35,Pudak
350301,3503,35,Panggul
350302,3503,35,Munjungan
350303,3503,35,Pule
350304,3503,35,Dongko
350305,3503,35,Tugu
350306,3503,35,Karangan
350307,3503,35,Kampak
350308,3503,35,Watulimo
350309,3503,35,Bendungan
350310,3503,35,Gandusari
350311,3503,35,Trenggalek
350312,3503,35,Pogalan
350313,3503,35,Durenan
350314,3503,35,Suruh
350401,3504,35,Tulungagung
350402,3504,35,Boyolangu
350403,3504,35,Kedungwaru
350404,3504,35,Ngantru
350405,3504,35,Kauman
350406,3504,35,Pagerwojo
350407,3504,35,Sendang
350408,3504,35,Karangrejo
350409,3504,35,Gondang
350410,3504,35,Sumbergempol
350411,3504,35,Ngunut
350412,3504,35,Pucanglaban
350413,3504,35,Rejotangan
350414,3504,35,Kalidawir
350415,3504,35,Besuki
350416,3504,35,Campurdarat
350417,3504,35,Bandung
350418,3504,35,Pakel
350419,3504,35,Tanggunggunung
350501,3505,35,Wonodadi
350502,3505,35,Udanawu
350503,3505,35,Srengat
350504,3505,35,Kademangan
350505,3505,35,Bakung
350506,3505,35,Ponggok
350507,3505,35,Sanankulon
350508,3505,35,Wonotirto
350509,3505,35,Nglegok
350510,3505,35,Kanigoro
350511,3505,35,Garum
350512,3505,35,Sutojayan
350513,3505,35,Panggungrejo
350514,3505,35,Talun
350515,3505,35,Gandusari
350516,3505,35,Binangun
350517,3505,35,Wlingi
350518,3505,35,Doko
350519,3505,35,Kesamben
350520,3505,35,Wates
350521,3505,35,Selorejo
350522,3505,35,Selopuro
350601,3506,35,Semen
350602,3506,35,Mojo
350603,3506,35,Kras
350604,3506,35,Ngadiluwih
350605,3506,35,Kandat
350606,3506,35,Wates
350607,3506,35,Ngancar
350608,3506,35,Puncu
350609,3506,35,Plosoklaten
350610,3506,35,Gurah
350611,3506,35,Pagu
350612,3506,35,Gampengrejo
350613,3506,35,Grogol
350614,3506,35,Papar
350615,3506,35,Purwoasri
350616,3506,35,Plemahan
350617,3506,35,Pare
350618,3506,35,Kepung
350619,3506,35,Kandangan
350620,3506,35,Tarokan
350621,3506,35,Kunjang
350622,3506,35,Banyakan
350623,3506,35,Ringinrejo
350624,3506,35,"Kayen Kidul"
350625,3506,35,Ngasem
350626,3506,35,Badas
350701,3507,35,Donomulyo
350702,3507,35,Pagak
350703,3507,35,Bantur
350704,3507,35,"Sumbermanjing Wetan"
350705,3507,35,Dampit
350706,3507,35,Ampelgading
350707,3507,35,Poncokusumo
350708,3507,35,Wajak
350709,3507,35,Turen
350710,3507,35,Gondanglegi
350711,3507,35,Kalipare
350712,3507,35,Sumberpucung
350713,3507,35,Kepanjen
350714,3507,35,Bululawang
350715,3507,35,Tajinan
350716,3507,35,Tumpang
350717,3507,35,Jabung
350718,3507,35,Pakis
350719,3507,35,Pakisaji
350720,3507,35,Ngajum
350721,3507,35,Wagir
350722,3507,35,Dau
350723,3507,35,"Karang Ploso"
350724,3507,35,Singosari
350725,3507,35,Lawang
350726,3507,35,Pujon
350727,3507,35,Ngantang
350728,3507,35,Kasembon
350729,3507,35,Gedangan
350730,3507,35,Tirtoyudo
350731,3507,35,Kromengan
350732,3507,35,Wonosari
350733,3507,35,Pagelaran
350801,3508,35,Tempursari
350802,3508,35,Pronojiwo
350803,3508,35,Candipuro
350804,3508,35,Pasirian
350805,3508,35,Tempeh
350806,3508,35,Kunir
350807,3508,35,Yosowilangun
350808,3508,35,Rowokangkung
350809,3508,35,Tekung
350810,3508,35,Lumajang
350811,3508,35,Pasrujambe
350812,3508,35,Senduro
350813,3508,35,Gucialit
350814,3508,35,Padang
350815,3508,35,Sukodono
350816,3508,35,Kedungjajang
350817,3508,35,Jatiroto
350818,3508,35,Randuagung
350819,3508,35,Klakah
350820,3508,35,Ranuyoso
350821,3508,35,Sumbersuko
350901,3509,35,Jombang
350902,3509,35,Kencong
350903,3509,35,Sumberbaru
350904,3509,35,Gumukmas
350905,3509,35,Umbulsari
350906,3509,35,Tanggul
350907,3509,35,Semboro
350908,3509,35,Puger
350909,3509,35,Bangsalsari
350910,3509,35,Balung
350911,3509,35,Wuluhan
350912,3509,35,Ambulu
350913,3509,35,Rambipuji
350914,3509,35,Panti
350915,3509,35,Sukorambi
350916,3509,35,Jenggawah
350917,3509,35,Ajung
350918,3509,35,Tempurejo
350919,3509,35,Kaliwates
350920,3509,35,Patrang
350921,3509,35,Sumbersari
350922,3509,35,Arjasa
350923,3509,35,Mumbulsari
350924,3509,35,Pakusari
350925,3509,35,Jelbuk
350926,3509,35,Mayang
350927,3509,35,Kalisat
350928,3509,35,Ledokombo
350929,3509,35,Sukowono
350930,3509,35,Silo
350931,3509,35,Sumberjambe
351001,3510,35,Pesanggaran
351002,3510,35,Bangorejo
351003,3510,35,Purwoharjo
351004,3510,35,Tegaldlimo
351005,3510,35,Muncar
351006,3510,35,Cluring
351007,3510,35,Gambiran
351008,3510,35,Srono
351009,3510,35,Genteng
351010,3510,35,Glenmore
351011,3510,35,Kalibaru
351012,3510,35,Singojuruh
351013,3510,35,Rogojampi
351014,3510,35,Kabat
351015,3510,35,Glagah
351016,3510,35,Banyuwangi
351017,3510,35,Giri
351018,3510,35,Wongsorejo
351019,3510,35,Songgon
351020,3510,35,Sempu
351021,3510,35,Kalipuro
351022,3510,35,Siliragung
351023,3510,35,Tegalsari
351024,3510,35,Licin
351025,3510,35,Blimbingsari
351101,3511,35,Maesan
351102,3511,35,Tamanan
351103,3511,35,Tlogosari
351104,3511,35,Sukosari
351105,3511,35,Pujer
351106,3511,35,Grujugan
351107,3511,35,Curahdami
351108,3511,35,Tenggarang
351109,3511,35,Wonosari
351110,3511,35,Tapen
351111,3511,35,Bondowoso
351112,3511,35,Wringin
351113,3511,35,Tegalampel
351114,3511,35,Klabang
351115,3511,35,Cermee
351116,3511,35,Prajekan
351117,3511,35,Pakem
351118,3511,35,Sumberwringin
351119,3511,35,Sempol
351120,3511,35,Binakal
351121,3511,35,"Taman Krocok"
351122,3511,35,Botolinggo
351123,3511,35,"Jambesari Darus Sholah"
351201,3512,35,Jatibanteng
351202,3512,35,Besuki
351203,3512,35,Suboh
351204,3512,35,Mlandingan
351205,3512,35,Kendit
351206,3512,35,Panarukan
351207,3512,35,Situbondo
351208,3512,35,Panji
351209,3512,35,Mangaran
351210,3512,35,Kapongan
351211,3512,35,Arjasa
351212,3512,35,Jangkar
351213,3512,35,Asembagus
351214,3512,35,Banyuputih
351215,3512,35,Sumbermalang
351216,3512,35,Banyuglugur
351217,3512,35,Bungatan
351301,3513,35,Sukapura
351302,3513,35,Sumber
351303,3513,35,Kuripan
351304,3513,35,Bantaran
351305,3513,35,Leces
351306,3513,35,Banyuanyar
351307,3513,35,Tiris
351308,3513,35,Krucil
351309,3513,35,Gading
351310,3513,35,Pakuniran
351311,3513,35,Kotaanyar
351312,3513,35,Paiton
351313,3513,35,Besuk
351314,3513,35,Kraksaan
351315,3513,35,Krejengan
351316,3513,35,Pejarakan
351317,3513,35,Maron
351318,3513,35,Gending
351319,3513,35,Dringu
351320,3513,35,Tegalsiwalan
351321,3513,35,Sumberasih
351322,3513,35,Wonomerto
351323,3513,35,Tongas
351324,3513,35,Lumbang
351401,3514,35,Purwodadi
351402,3514,35,Tutur
351403,3514,35,Puspo
351404,3514,35,Lumbang
351405,3514,35,Pasrepan
351406,3514,35,Kejayan
351407,3514,35,Wonorejo
351408,3514,35,Purwosari
351409,3514,35,Sukorejo
351410,3514,35,Prigen
351411,3514,35,Pandaan
351412,3514,35,Gempol
351413,3514,35,Beji
351414,3514,35,Bangil
351415,3514,35,Rembang
351416,3514,35,Kraton
351417,3514,35,Pohjentrek
351418,3514,35,Gondangwetan
351419,3514,35,Winongan
351420,3514,35,Grati
351421,3514,35,Nguling
351422,3514,35,Lekok
351423,3514,35,Rejoso
351424,3514,35,Tosari
351501,3515,35,Tarik
351502,3515,35,Prambon
351503,3515,35,Krembung
351504,3515,35,Porong
351505,3515,35,Jabon
351506,3515,35,Tanggulangin
351507,3515,35,Candi
351508,3515,35,Sidoarjo
351509,3515,35,Tulangan
351510,3515,35,Wonoayu
351511,3515,35,Krian
351512,3515,35,Balongbendo
351513,3515,35,Taman
351514,3515,35,Sukodono
351515,3515,35,Buduran
351516,3515,35,Gedangan
351517,3515,35,Sedati
351518,3515,35,Waru
351601,3516,35,Jatirejo
351602,3516,35,Gondang
351603,3516,35,Pacet
351604,3516,35,Trawas
351605,3516,35,Ngoro
351606,3516,35,Pungging
351607,3516,35,Kutorejo
351608,3516,35,Mojosari
351609,3516,35,Dlanggu
351610,3516,35,Bangsal
351611,3516,35,Puri
351612,3516,35,Trowulan
351613,3516,35,Sooko
351614,3516,35,Gedeg
351615,3516,35,Kemlagi
351616,3516,35,Jetis
351617,3516,35,Dawarblandong
351618,3516,35,Mojoanyar
351701,3517,35,Perak
351702,3517,35,Gudo
351703,3517,35,Ngoro
351704,3517,35,Bareng
351705,3517,35,Wonosalam
351706,3517,35,Mojoagung
351707,3517,35,Mojowarno
351708,3517,35,Diwek
351709,3517,35,Jombang
351710,3517,35,Peterongan
351711,3517,35,Sumobito
351712,3517,35,Kesamben
351713,3517,35,Tembelang
351714,3517,35,Ploso
351715,3517,35,Plandaan
351716,3517,35,Kabuh
351717,3517,35,Kudu
351718,3517,35,Bandarkedungmulyo
351719,3517,35,Jogoroto
