code,district_code,regency_code,province_code,name,postal_code,latitude,longitude,coordinates
6301012001,630101,6301,63,"Banua lawas",70861,,,null
6301012002,630101,6301,63,Tabanio,70861,,,null
6301012003,630101,6301,63,"Kuala Tambangan",70861,,,null
6301012004,630101,6301,63,Takisung,70861,,,null
6301012005,630101,6301,63,"Gunung Makmur",70861,,,null
6301012006,630101,6301,63,"Banua Tengah",70861,,,null
6301012007,630101,6301,63,Ranggang,70861,,,null
6301012008,630101,6301,63,"Pagatan Besar",70861,,,null
6301012009,630101,6301,63,Batilai,70861,,,null
6301012010,630101,6301,63,"Ranggang Dalam",70861,,,null
6301012011,630101,6301,63,"Telaga langsat",70861,,,null
6301012012,630101,6301,63,"Sumber Makmur",70861,,,null
6301022001,630102,6301,63,Sabuhur,70881,,,null
6301022002,630102,6301,63,Jorong,70881,,,null
6301022003,630102,6301,63,Asam-Asam,70881,,,null
6301022004,630102,6301,63,Batalang,70881,,,null
6301022005,630102,6301,63,Swarangan,70881,,,null
6301022006,630102,6301,63,"Muara Asam-Asam",70881,,,null
6301022007,630102,6301,63,Alur,70881,,,null
6301022008,630102,6301,63,"Asri Mulya",70881,,,null
6301022009,630102,6301,63,"Karang Rejo",70881,,,null
6301022010,630102,6301,63,"Asam Jaya",70881,,,null
6301022011,630102,6301,63,"Simpang Empat Sungai Baru",70881,,,null
6301031001,630103,6301,63,"Sarang Halang",70815,,,null
6301031002,630103,6301,63,"Karang Taruna",70812,,,null
6301031003,630103,6301,63,Pelaihari,70815,,,null
6301031004,630103,6301,63,Angsau,70814,,,null
6301031005,630103,6301,63,Pabahanan,70815,,,null
6301032006,630103,6301,63,"Bumi Jaya",70815,,,null
6301032008,630103,6301,63,"Sungai Riam",70815,,,null
6301032009,630103,6301,63,Tampang,70815,,,null
6301032010,630103,6301,63,Telaga,70815,,,null
6301032011,630103,6301,63,Panjaratan,70815,,,null
6301032012,630103,6301,63,Atu-atu,70815,,,null
6301032015,630103,6301,63,Panggung,70815,,,null
6301032016,630103,6301,63,Tungkaran,70815,,,null
6301032017,630103,6301,63,"Ujung Batu",70815,,,null
6301032020,630103,6301,63,"Panggung Baru",70815,,,null
6301032024,630103,6301,63,Ambungan,70815,,,null
6301032025,630103,6301,63,"Guntung Besar",70815,,,null
6301032026,630103,6301,63,"Kampung Baru",70815,,,null
6301032027,630103,6301,63,"Sumber Mulia",70815,,,null
6301032029,630103,6301,63,Pemuda,70815,,,null
6301042001,630104,6301,63,"Sungai Bakau",70851,,,null
6301042002,630104,6301,63,"Maluka Baulin",70851,,,null
6301042003,630104,6301,63,"Bawah Layung",70851,,,null
6301042004,630104,6301,63,"Tambak Sarinah",70851,,,null
6301042005,630104,6301,63,"Kali Besar",70851,,,null
6301042006,630104,6301,63,"Handil Negara",70851,,,null
6301042007,630104,6301,63,"Padang Luas",70851,,,null
6301042008,630104,6301,63,Kurau,70851,,,null
6301042017,630104,6301,63,"Tambak Karya",70851,,,null
6301042018,630104,6301,63,Raden,70851,,,null
6301042019,630104,6301,63,Sarikandi,70851,,,null
6301052001,630105,6301,63,"Benua Raya",70852,,,null
6301052002,630105,6301,63,Bati-Bati,70852,,,null
6301052003,630105,6301,63,Ujung,70852,,,null
6301052004,630105,6301,63,"Liang Anggang",70852,,,null
