code,district_code,regency_code,province_code,name,postal_code
6401012009,640101,6401,64,Samuranggau,76252
6401012010,640101,6401,64,Busui,76252
6401012011,640101,6401,64,"Batu Kajang",76252
6401012012,640101,6401,64,Legai,76252
6401012013,640101,6401,64,"Sungai Terik",76252
6401012014,640101,6401,64,Kasungai,76252
6401012015,640101,6401,64,"Rantau Buta",76252
6401012016,640101,6401,64,"Rantau Layung",76252
6401012017,640101,6401,64,Songka,76252
6401022004,640102,6401,64,Keladen,76260
6401022006,640102,6401,64,"Tanjung Aru",76260
6401022007,640102,6401,64,Labuangkallo,76260
6401022012,640102,6401,64,Lori,76260
6401022013,640102,6401,64,Selengot,76260
6401022014,640102,6401,64,Random,76260
6401022015,640102,6401,64,Senipah,76260
6401032001,640103,6401,64,Lempesu,76271
6401032002,640103,6401,64,Bekoso,76271
6401032003,640103,6401,64,Damit,76271
6401032004,640103,6401,64,Suatang,76271
6401032005,640103,6401,64,Suliliran,76271
6401032006,640103,6401,64,"Pasir Belengkong",76271
6401032007,640103,6401,64,Sangkuriman,76271
6401032008,640103,6401,64,Laburan,76271
6401032009,640103,6401,64,"Suliliran Baru",76271
6401032010,640103,6401,64,"Keresik Bura",76271
6401032011,640103,6401,64,"Laburan Baru",76271
6401032012,640103,6401,64,"Seniung Jaya",76271
6401032013,640103,6401,64,"Sunge Batu",76271
6401032014,640103,6401,64,"Olong Pinang",76271
6401032015,640103,6401,64,"Suatang Keteban",76271
6401041001,640104,6401,64,"Tanah Grogot",76251
6401042002,640104,6401,64,Janju,76251
6401042003,640104,6401,64,"Tepian Batang",76251
6401042004,640104,6401,64,"Tanah Periuk",76251
6401042005,640104,6401,64,Pepara,76251
6401042006,640104,6401,64,"Sungai Tuak",76251
6401042007,640104,6401,64,Sempulang,76251
6401042008,640104,6401,64,Jone,76251
6401042009,640104,6401,64,"Rantau Panjang",76251
6401042010,640104,6401,64,"Muara Pasir",76251
6401042011,640104,6401,64,"Padang Pengrapat",76251
6401042012,640104,6401,64,Perepat,76251
6401042013,640104,6401,64,"Pulau Rantau",76251
6401042014,640104,6401,64,"Sungai Langir",76251
6401042015,640104,6401,64,Tapis,76251
6401042016,640104,6401,64,Senaken,76251
6401051001,640105,6401,64,Kuaro,76281
6401052002,640105,6401,64,Lolo,76281
6401052003,640105,6401,64,Sandeley,76281
6401052004,640105,6401,64,"Harapan Baru",76281
6401052005,640105,6401,64,Rangan,76281
6401052006,640105,6401,64,Modang,76281
6401052007,640105,6401,64,"Pasir Mayang",76281
6401052008,640105,6401,64,"Kerta Bumi",76281
6401052009,640105,6401,64,"Pondang Baru",76281
6401052010,640105,6401,64,"Padang Jaya",76281
6401052011,640105,6401,64,Kendarom,76281
6401052012,640105,6401,64,"Klempang Sari",76281
6401052013,640105,6401,64,"Keluang Paser Jaya",76281
6401061001,640106,6401,64,"Long Ikis",76282
6401062002,640106,6401,64,"Muara Adang",76282
6401062003,640106,6401,64,"Teluk Waru",76282
6401062004,640106,6401,64,Tajur,76282
6401062005,640106,6401,64,Samuntai,76282
6401062006,640106,6401,64,Lombok,76282
6401062007,640106,6401,64,Pait,76282
6401062008,640106,6401,64,Olung,76282
6401062009,640106,6401,64,Kayungo,76282
6401062010,640106,6401,64,Jemparing,76282
6401062011,640106,6401,64,Tiwei,76282
6401062012,640106,6401,64,Belimbing,76282
6401062013,640106,6401,64,"Long Gelang",76282
6401062014,640106,6401,64,"Krayan Jaya",76282
6401062015,640106,6401,64,"Bukit Saloka",76282
6401062016,640106,6401,64,"Krayan Sentosa",76282
6401062017,640106,6401,64,"Krayan Makmur",76282
6401062018,640106,6401,64,"Kayungo Sari",76282
6401062019,640106,6401,64,"Krayan Bahagia",76282
6401062020,640106,6401,64,"Sawit Jaya",76282
6401062021,640106,6401,64,"Sekurou Jaya",76282
6401062022,640106,6401,64,"Kerta Bhakti",76282
6401062023,640106,6401,64,"Adang Jaya",76282
6401062024,640106,6401,64,"Tajer Mulya",76282
6401062025,640106,6401,64,Brewe,76282
6401062026,640106,6401,64,"Atang Pait",76282
6401071001,640107,6401,64,Muarakomam,76253
6401072002,640107,6401,64,"Batu Butok",76253
6401072003,640107,6401,64,Uko,76253
6401072004,640107,6401,64,"Muara Langon",76253
6401072005,640107,6401,64,Binangon,76253
6401072006,640107,6401,64,"Muara Kuaro",76253
6401072007,640107,6401,64,Prayon,76253
6401072008,640107,6401,64,"Long Sayo",76253
6401072009,640107,6401,64,"Muara Payang",76253
6401072010,640107,6401,64,Lusan,76253
6401072011,640107,6401,64,"Swan Slutung",76253
6401072012,640107,6401,64,"Sekuan Makmur",76253
6401072013,640107,6401,64,Selerong,76253
6401081001,640108,6401,64,"Long Kali",76283
6401082002,640108,6401,64,"Muara Telake",76283
6401082003,640108,6401,64,Sebakung,76283
6401082004,640108,6401,64,"Bente Tualan",76283
6401082005,640108,6401,64,Mendik,76283
6401082006,640108,6401,64,Munggu,76283
6401082007,640108,6401,64,"Muara Pias",76283
6401082008,640108,6401,64,"Muara Toyu",76283
6401082009,640108,6401,64,Perkuwen,76283
6401082010,640108,6401,64,"Pinang Jatus",76283
6401082011,640108,6401,64,"Muara Lambakan",76283
6401082012,640108,6401,64,"Kepala Telake",76283
6401082013,640108,6401,64,"Mendik Makmur",76283
6401082014,640108,6401,64,"Mendik Karya",76283
6401082015,640108,6401,64,"Mendik Bhakti",76283
6401082016,640108,6401,64,"Sebakung Taka",76283
6401082017,640108,6401,64,Maruat,76283
6401082018,640108,6401,64,"Sebakung Makmur",76283
6401082019,640108,6401,64,Petiku,76283
6401082020,640108,6401,64,"Muara Adang II",76283
6401082021,640108,6401,64,"Makmur Jaya",76283
6401082022,640108,6401,64,"Gunung Putar",76283
6401082023,640108,6401,64,Putang,76283
6401092001,640109,6401,64,Kerang,76261
6401092002,640109,6401,64,Lomu,76261
6401092003,640109,6401,64,Segendang,76261
6401092004,640109,6401,64,Mengkudu,76261
6401092005,640109,6401,64,Riwang,76261
6401092006,640109,6401,64,Langgai,76261
6401092007,640109,6401,64,Petangis,76261
6401092008,640109,6401,64,Tampakan,76261
6401092009,640109,6401,64,"Kerang Dayo",76261
6401092010,640109,6401,64,"Saing Prupuk",76261
6401092011,640109,6401,64,"Bai Jaya",76261
6401092012,640109,6401,64,"Pengguren Jaya",76261
6401092013,640109,6401,64,"Tebru Paser Damai",76261
6401102001,640110,6401,64,"Tanjung Pinang",76250
6401102002,640110,6401,64,"Rantau Atas",76250
6401102003,640110,6401,64,"Libur Dinding",76250
6401102004,640110,6401,64,Luan,76250
6401102005,640110,6401,64,Suweto,76250
6401102006,640110,6401,64,Muser,76250
6401102007,640110,6401,64,Biu,76250
6401102008,640110,6401,64,"Rantau Bintungan",76250
