code,regency_code,province_code,name
110101,1101,11,Bakongan
110102,1101,11,"Kluet Utara"
110103,1101,11,"Kluet Selatan"
110104,1101,11,"Labuhan Haji"
110105,1101,11,Meukek
110106,1101,11,Samadua
110107,1101,11,Sawang
110108,1101,11,Tapaktuan
110109,1101,11,Trumon
110110,1101,11,"Pasi Raja"
110111,1101,11,"Labuhan Haji Timur"
110112,1101,11,"Labuhan Haji Barat"
110113,1101,11,"Kluet Tengah"
110114,1101,11,"Kluet Timur"
110115,1101,11,"Bakongan Timur"
110116,1101,11,"Trumon Timur"
110117,1101,11,"Kota Bahagia"
110118,1101,11,"Trumon Tengah"
110201,1102,11,"Lawe Alas"
110202,1102,11,"Lawe Sigala-Gala"
110203,1102,11,Bambel
110204,1102,11,Babussalam
110205,1102,11,Badar
110206,1102,11,"Babul Makmur"
110207,1102,11,"Darul Hasanah"
110208,1102,11,"Lawe Bulan"
110209,1102,11,"Bukit Tusam"
110210,1102,11,Semadam
110211,1102,11,"Babul Rahmah"
110212,1102,11,Ketambe
110213,1102,11,"Deleng Pokhkisen"
110214,1102,11,"Lawe Sumur"
110215,1102,11,"Tanoh Alas"
110216,1102,11,Leuser
110301,1103,11,"Darul Aman"
110302,1103,11,Julok
110303,1103,11,"Idi Rayeuk"
110304,1103,11,"Birem Bayeun"
110305,1103,11,Serbajadi
110306,1103,11,Nurussalam
110307,1103,11,Peureulak
110308,1103,11,"Rantau Selamat"
110309,1103,11,"Simpang Ulim"
110310,1103,11,"Rantau Peureulak"
110311,1103,11,"Pante Bidari"
110312,1103,11,Madat
110313,1103,11,"Indra Makmu"
110314,1103,11,"Idi Tunong"
110315,1103,11,"Banda Alam"
110316,1103,11,Peudawa
110317,1103,11,"Peureulak Timur"
110318,1103,11,"Peureulak Barat"
110319,1103,11,"Sungai Raya"
110320,1103,11,"Simpang Jernih"
110321,1103,11,"Darul Ihsan"
110322,1103,11,"Darul Falah"
110323,1103,11,"Idi Timur"
110324,1103,11,Peunaron
110401,1104,11,Linge
110402,1104,11,"Silih Nara"
110403,1104,11,Bebesen
110407,1104,11,Pegasing
110408,1104,11,Bintang
110410,1104,11,Ketol
110411,1104,11,Kebayakan
110412,1104,11,"Kute Panang"
110413,1104,11,Celala
110417,1104,11,"Laut Tawar"
110418,1104,11,"Atu Lintang"
110419,1104,11,"Jagong Jeget"
110420,1104,11,Bies
110421,1104,11,"Rusip Antara"
110501,1105,11,"Johan Pahwalan"
110502,1105,11,"Kaway XVI"
110503,1105,11,"Sungai Mas"
110504,1105,11,Woyla
110505,1105,11,Samatiga
110506,1105,11,Bubon
110507,1105,11,"Arongan Lambalek"
110508,1105,11,"Pante Ceureumen"
110509,1105,11,Meureubo
110510,1105,11,"Woyla Barat"
110511,1105,11,"Woyla Timur"
110512,1105,11,"Panton Reu"
110601,1106,11,Lhoong
110602,1106,11,Lhoknga
110603,1106,11,Indrapuri
110604,1106,11,Seulimeum
110605,1106,11,Montasik
110606,1106,11,Sukamakmur
110607,1106,11,"Darul Imarah"
110608,1106,11,"Peukan Bada"
110609,1106,11,"Mesjid Raya"
110610,1106,11,"Ingin Jaya"
110611,1106,11,"Kuta Baro"
110612,1106,11,Darussalam
110613,1106,11,"Pulo Aceh"
110614,1106,11,"Lembah Seulawah"
110615,1106,11,"Kota Jantho"
110616,1106,11,"Kota Cot Glie"
110617,1106,11,"Kuta Malaka"
110618,1106,11,"Simpang Tiga"
110619,1106,11,"Darul Kamal"
110620,1106,11,Baitussalam
110621,1106,11,"Krueng Barona Jaya"
110622,1106,11,Leupung
110623,1106,11,"Blang Bintang"
110703,1107,11,Batee
110704,1107,11,Delima
110705,1107,11,Geumpang
110706,1107,11,"Geulumpang Tiga"
110707,1107,11,"Indra Jaya"
110708,1107,11,"Kembang Tanjong"
110709,1107,11,"Kota Sigli"
110711,1107,11,Mila
110712,1107,11,"Muara Tiga"
110713,1107,11,Mutiara
110714,1107,11,"Padang Tiji"
110715,1107,11,"Peukan Baro"
110716,1107,11,Pidie
110717,1107,11,Sakti
110718,1107,11,"Simpang Tiga"
110719,1107,11,Tangse
110721,1107,11,Tiro/Truseb
110722,1107,11,Keumala
110724,1107,11,"Mutiara Timur"
110725,1107,11,Grong-grong
110727,1107,11,Mane
110729,1107,11,"Glumpang Baro"
110731,1107,11,Titeue
110801,1108,11,Baktiya
110802,1108,11,Dewantara
110803,1108,11,"Kuta Makmur"
110804,1108,11,Lhoksukon
110805,1108,11,Matangkuli
110806,1108,11,"Muara Batu"
