code,district_code,regency_code,province_code,name
1101012001,110101,1101,11,"Keude Bakongan"
1101012002,110101,1101,11,"Ujong Mangki"
1101012003,110101,1101,11,"Ujong Padang"
1101012004,110101,1101,11,"Gampong Drien"
1101012015,110101,1101,11,"Darul Ikhsan"
1101012016,110101,1101,11,"Padang Beurahan"
1101012017,110101,1101,11,"Gampong Baro"
1101022001,110102,1101,11,"Fajar Harapan"
1101022002,110102,1101,11,"Krueng Batee"
1101022003,110102,1101,11,"Pasi Kuala Asahan"
1101022004,110102,1101,11,"Gunung Pulo"
1101022005,110102,1101,11,"Pulo Ie I"
1101022006,110102,1101,11,"Jambo Manyang"
1101022007,110102,1101,11,"Simpang Empat"
1101022008,110102,1101,11,"Limau Purut"
1101022009,110102,1101,11,"Pulo Kambing"
1101022010,110102,1101,11,"Kampung Paya"
1101022011,110102,1101,11,"Krueng Batu"
1101022012,110102,1101,11,"Krueng Kluet"
1101022013,110102,1101,11,"Alur Mas"
1101022014,110102,1101,11,"Kampung Tinggi"
1101022015,110102,1101,11,Ruak
1101022016,110102,1101,11,"Simpang Lhee"
1101022017,110102,1101,11,"Suaq Geuringgeng"
1101022018,110102,1101,11,"Pasi Kuala Ba'u"
1101022019,110102,1101,11,"Kedai Padang"
1101022020,110102,1101,11,Kotafajar
1101022021,110102,1101,11,"Gunung Pudung"
1101032001,110103,1101,11,"Suaq Bakung"
1101032002,110103,1101,11,"Rantau Binuang"
1101032003,110103,1101,11,"Barat Daya"
1101032004,110103,1101,11,Sialang
1101032005,110103,1101,11,Kapeh
1101032006,110103,1101,11,"Pulo Ie"
1101032007,110103,1101,11,"Kedai Runding"
1101032008,110103,1101,11,"Kedai Kandang"
1101032009,110103,1101,11,"Gampong Luar"
1101032010,110103,1101,11,Ujung
1101032011,110103,1101,11,Jua
1101032012,110103,1101,11,"Pasi Meurapat"
1101032013,110103,1101,11,"Ujung Pasir"
1101032014,110103,1101,11,Geulumbuk
1101032015,110103,1101,11,"Pasie Lembang"
1101032016,110103,1101,11,"Ujung Padang"
1101032017,110103,1101,11,"Indra Damai"
1101042001,110104,1101,11,"Bakau Hulu"
1101042002,110104,1101,11,"Padang Bakau"
1101042003,110104,1101,11,"Manggis Harapan"
1101042004,110104,1101,11,"Pasar Lama"
1101042005,110104,1101,11,Apha
1101042006,110104,1101,11,"Ujung Batu"
1101042007,110104,1101,11,Pawoh
1101042008,110104,1101,11,Dalam
1101042009,110104,1101,11,"Kota Palak"
1101042010,110104,1101,11,Cacang
1101042011,110104,1101,11,"Tengah Pisang"
1101042012,110104,1101,11,Pisang
1101042013,110104,1101,11,"Hulu Pisang"
1101042014,110104,1101,11,"Tengah Baru"
1101042015,110104,1101,11,"Lembah Baru"
1101042016,110104,1101,11,"Padang Baru"
1101052001,110105,1101,11,"Kuta Buloh II"
1101052002,110105,1101,11,"Kuta Buloh I"
1101052003,110105,1101,11,"Ie Dingen"
1101052004,110105,1101,11,"Drien Jalo"
1101052005,110105,1101,11,"Jambo Papeun"
1101052006,110105,1101,11,"Buket Meuh"
1101052007,110105,1101,11,"Blang Kuala"
1101052008,110105,1101,11,"Rot Teungoh"
1101052009,110105,1101,11,"Alue Baro"
1101052010,110105,1101,11,"Ladang Tuha"
1101052011,110105,1101,11,"Lhok Mamplam"
1101052012,110105,1101,11,"Arun Tunggai"
1101052013,110105,1101,11,"Blang Teungoh"
1101052014,110105,1101,11,"Blang Bladeh"
1101052015,110105,1101,11,"Ie Buboh"
1101052016,110105,1101,11,"Keude Meukek"
1101052017,110105,1101,11,"Kuta Baro"
1101052018,110105,1101,11,"Tanjung Harapan"
1101052019,110105,1101,11,"Labuhan Tarok"
1101052020,110105,1101,11,"Lhok Aman"
1101052021,110105,1101,11,"Alue Meutuah"
1101052022,110105,1101,11,"Ladang Baro"
1101052023,110105,1101,11,"Labuhan Tarok II"
1101062001,110106,1101,11,Dalam
1101062002,110106,1101,11,Subarang
1101062003,110106,1101,11,"Kuta Baru"
1101062004,110106,1101,11,"Gunung Ketek"
1101062005,110106,1101,11,"Ladang Panton Luas"
1101062006,110106,1101,11,Madat
1101062007,110106,1101,11,"Alur Seumerah"
1101062008,110106,1101,11,Tengah
1101062009,110106,1101,11,"Gunung Cut"
1101062010,110106,1101,11,"Alur Pinang"
1101062011,110106,1101,11,"Kuta Blang"
1101062012,110106,1101,11,"Batee Tunggai"
1101062013,110106,1101,11,"Ujung Tanah"
1101062014,110106,1101,11,"Ujung Kampung"
1101062015,110106,1101,11,Jilatang
1101062016,110106,1101,11,Luar
1101062017,110106,1101,11,"Lubuk Layu"
1101062018,110106,1101,11,"Suaq Hulu"
1101062019,110106,1101,11,Tampang
1101062020,110106,1101,11,"Payonan Gadang"
1101062021,110106,1101,11,Gadang
1101062022,110106,1101,11,Baru
1101062023,110106,1101,11,"Ladang Kasik Putih"
1101062024,110106,1101,11,"Air Sialang Hilir."
1101062025,110106,1101,11,"Air Sialang Hulu"
1101062026,110106,1101,11,"Air Sialang Tengah"
1101062027,110106,1101,11,Balai
1101062028,110106,1101,11,Arafah
1101072001,110107,1101,11,Sikulat
1101072002,110107,1101,11,"Sawang I"
1101072003,110107,1101,11,Meuligo
1101072004,110107,1101,11,"Lhok Pawoh"
1101072005,110107,1101,11,"Sawang II"
1101072006,110107,1101,11,"Ujung Karang"
1101072007,110107,1101,11,"Trieng Meuduro Baroh"
1101072008,110107,1101,11,"Trieng Meuduro Tunong"
1101072009,110107,1101,11,"Panton Luas"
1101072010,110107,1101,11,"Simpang Tiga"
1101072011,110107,1101,11,"Kuta Baro"
1101072012,110107,1101,11,"Blang Geulinggang"
1101072013,110107,1101,11,Mutiara
1101072014,110107,1101,11,"Ujung Padang"
1101072015,110107,1101,11,"Sawang Ba'u"
1101082001,110108,1101,11,"Lhok Keutapang"
1101082002,110108,1101,11,Hilir
1101082003,110108,1101,11,Padang
1101082004,110108,1101,11,Hulu
1101082005,110108,1101,11,"Jambo Apha"
1101082006,110108,1101,11,"Tepi Air"
1101082007,110108,1101,11,Pasar
1101082008,110108,1101,11,"Lhok Bengkuang"
1101082009,110108,1101,11,"Panton Luas"
1101082010,110108,1101,11,"Gunung Kerambil"
1101082011,110108,1101,11,"Air Berudang"
1101082012,110108,1101,11,"Batu Itam"
1101082013,110108,1101,11,Panjupian
1101082014,110108,1101,11,"Lhok Rukam"
1101082015,110108,1101,11,"Air Pinang"
1101082016,110108,1101,11,"Lhok Bengkuang Timur"
1101092001,110109,1101,11,"Keude Trumon"
1101092002,110109,1101,11,"Ujong Tanoh"
1101092003,110109,1101,11,Sigleng
1101092004,110109,1101,11,"Ie Meudama"
1101092005,110109,1101,11,"Tuepin Tinggi"
1101092006,110109,1101,11,"Kuta Baro"
1101092007,110109,1101,11,"Panton Bilie"
1101092012,110109,1101,11,"Kuta Padang"
1101092013,110109,1101,11,Raket
1101092014,110109,1101,11,"Gampong Teungoh"
1101092015,110109,1101,11,"Seuneubok Jaya"
1101092016,110109,1101,11,"Padang Harapan"
1101102001,110110,1101,11,"Ladang Teungoh"
1101102002,110110,1101,11,"Pucok Krueng"
1101102003,110110,1101,11,Silolo
1101102004,110110,1101,11,"Kampung Baru"
1101102005,110110,1101,11,"Panton Bili"
1101102006,110110,1101,11,"Paya Ateuk"
1101102007,110110,1101,11,"Ladang Tuha"
1101102008,110110,1101,11,"Mata Ie"
1101102009,110110,1101,11,"Ujong Batee"
1101102010,110110,1101,11,"Lhok Sialang Cut"
1101102011,110110,1101,11,Seuneubok
1101102012,110110,1101,11,"Ie Mirah"
1101102013,110110,1101,11,"Pasie Rasian"
1101102014,110110,1101,11,"Ujung Padang Rasian"
1101102015,110110,1101,11,"Krueng Kalee"
1101102016,110110,1101,11,"Lhok Sialang Rayeuk"
1101102017,110110,1101,11,"Gampong Baro"
1101102018,110110,1101,11,"Teupin Gajah"
1101102019,110110,1101,11,"Ujung Padang Asahan"
1101102020,110110,1101,11,"Pulo Ie II"
1101102021,110110,1101,11,"Pante Raja"
1101112001,110111,1101,11,"Tengah Peulumat"
1101112002,110111,1101,11,"Paya Peulumat"
1101112003,110111,1101,11,"Padang Peulumat"
1101112004,110111,1101,11,"Aur Peulumat"
1101112005,110111,1101,11,"Limau Saring"
1101112006,110111,1101,11,Beutong
1101112007,110111,1101,11,Peuneulop
1101112008,110111,1101,11,"Gunung Rotan"
1101112009,110111,1101,11,"Keumumu Hilir"
1101112010,110111,1101,11,"Keumumu Hulu"
1101112011,110111,1101,11,"Keumumu Seberang"
1101112012,110111,1101,11,"Sawang Indah"
1101122001,110112,1101,11,Tutong
1101122002,110112,1101,11,"Teungoh Iboh"
1101122003,110112,1101,11,Peulokan
1101122004,110112,1101,11,"Kuta Iboh"
1101122005,110112,1101,11,"Ujung Padang"
1101122006,110112,1101,11,"Blang Baru"
1101122007,110112,1101,11,"Blang Poroh"
1101122008,110112,1101,11,"Pulo Ie"
1101122009,110112,1101,11,"Suak Lokan"
1101122010,110112,1101,11,"Iku Lhueng"
1101122011,110112,1101,11,"Kuta Trieng"
1101122012,110112,1101,11,"Pante Geulima"
1101122013,110112,1101,11,"Panton Pawoh"
1101122014,110112,1101,11,"Batee Meucanang"
1101122015,110112,1101,11,"Panton Rubek"
1101132001,110113,1101,11,Koto
1101132002,110113,1101,11,"Alur Keujrun"
1101132003,110113,1101,11,"Jambo Papan"
1101132004,110113,1101,11,Malaka
1101132005,110113,1101,11,"Koto Indarung"
1101132006,110113,1101,11,Siurai-Urai
1101132007,110113,1101,11,"Kampung Sawah"
1101132008,110113,1101,11,"Kampung Padang"
1101132009,110113,1101,11,"Pulo Air"
1101132010,110113,1101,11,"Lawe Melang"
1101132011,110113,1101,11,Mersak
1101132012,110113,1101,11,"Simpang Dua"
1101132013,110113,1101,11,"Simpang Tiga"
1101142001,110114,1101,11,"Paya Dapur"
1101142002,110114,1101,11,Sapik
1101142003,110114,1101,11,Alai
1101142004,110114,1101,11,"Durian Kawan"
1101142005,110114,1101,11,"Lawe Sawah"
1101142006,110114,1101,11,"Lawe Buluh Didi"
1101142007,110114,1101,11,"Pucuk Lembang"
1101142008,110114,1101,11,"Paya Laba"
1101142009,110114,1101,11,"Lawe Cimanok"
1101152001,110115,1101,11,"Pasie Seubadeh"
1101152002,110115,1101,11,"Ladang Rimba"
1101152003,110115,1101,11,"Ujong Pulo Rayeuk"
1101152004,110115,1101,11,"Sawah Tingkeum"
1101152005,110115,1101,11,Simpang
1101152006,110115,1101,11,"Ujong Pulo Cut"
1101152008,110115,1101,11,Seuleukat
1101162005,110116,1101,11,"Pinto Rimba"
1101162006,110116,1101,11,"Krueng Luas"
1101162007,110116,1101,11,"Jambo Dalem"
1101162008,110116,1101,11,"Kapa Sesak"
1101162009,110116,1101,11,"Seuneubok Punto"
1101162010,110116,1101,11,"Seuneubok Pusaka"
1101162011,110116,1101,11,"Alur Bujok"
1101162012,110116,1101,11,"Titi Poben"
1101172001,110117,1101,11,"Buket Gadeng"
1101172002,110117,1101,11,Rambong
1101172003,110117,1101,11,"Seuneubok Keuranji"
1101172004,110117,1101,11,"Seuneubok Alur Buloh"
1101172005,110117,1101,11,"Ujong Tanoh"
1101172006,110117,1101,11,"Ujong Gunong Cut"
1101172007,110117,1101,11,"Ujong Gunung Rayeuk"
1101172008,110117,1101,11,Beutong
1101172009,110117,1101,11,"Jambo Keupok"
1101172010,110117,1101,11,Alurduamas
1101182001,110118,1101,11,"Ladang Rimba"
1101182002,110118,1101,11,"Gunong Kapho"
1101182003,110118,1101,11,"Kampong Teungoh"
1101182004,110118,1101,11,"Krueng Batee"
1101182005,110118,1101,11,"Pulo Paya"
1101182006,110118,1101,11,"Jambo Papeun"
1101182007,110118,1101,11,"Cot Bayu"
1101182008,110118,1101,11,Naca
1101182009,110118,1101,11,"Ie Jeureuneh"
1101182010,110118,1101,11,"Lhok Raya"
1102012001,110201,1102,11,Engkeran
1102012002,110201,1102,11,"Rumah Kampung"
1102012004,110201,1102,11,"Pasir Bangun"
1102012006,110201,1102,11,Kubu
1102012007,110201,1102,11,"Lawe Kongker"
1102012008,110201,1102,11,"Kuta Cingkam II"
1102012009,110201,1102,11,"Muara Baru"
1102012011,110201,1102,11,"Kuta Batu I"
1102012012,110201,1102,11,"Kuta Cingkam I"
1102012013,110201,1102,11,"Kuta Batu II"
1102012014,110201,1102,11,"Lawe Sempilang"
1102012015,110201,1102,11,"Prapat Batu Nunggul"
1102012016,110201,1102,11,"Pulo Sepang"
1102012017,110201,1102,11,"Rih Mbelang"
1102012018,110201,1102,11,"Kute Batu Baru"
1102012019,110201,1102,11,"Darul Amin"
1102012020,110201,1102,11,"Lawe Lubang Indah"
1102012021,110201,1102,11,"Batu Hamparan"
1102012022,110201,1102,11,"Paye Munje"
1102012023,110201,1102,11,"Pulo Ndapdap"
1102012024,110201,1102,11,"Pasir Nunggul"
1102012025,110201,1102,11,"Cingkham Mekhanggun"
1102012026,110201,1102,11,"Pintu Khimbe"
1102012027,110201,1102,11,"Lawe Kongker Hilir"
1102012028,110201,1102,11,"Pulo Gadung"
1102012029,110201,1102,11,"Pasikh Pehkmate"
1102012030,110201,1102,11,"Pasikh Nunang"
1102012031,110201,1102,11,"Deleng Kukusen"
1102022001,110202,1102,11,"Bukit Merdeka"
1102022002,110202,1102,11,"Darul Aman"
1102022003,110202,1102,11,"Lawe Kesumpat"
1102022004,110202,1102,11,"Lawe Tua Gabungan"
1102022005,110202,1102,11,"Lawe Sigala II"
1102022006,110202,1102,11,"Lawe Sigala Timur"
1102022007,110202,1102,11,"Lawe Sigala Barat"
1102022008,110202,1102,11,"Suka Damai"
1102022009,110202,1102,11,"Kute Tengah"
1102022010,110202,1102,11,"Tanah Baru"
1102022011,110202,1102,11,"Kedataran Gabungan"
1102022012,110202,1102,11,"Gabungan Parsaroan"
1102022013,110202,1102,11,"Lawe Loning Gabungan"
1102022014,110202,1102,11,"Lawe Loning Aman"
1102022015,110202,1102,11,"Suka Maju"
1102022016,110202,1102,11,"Lawe Tua Makmur"
1102022017,110202,1102,11,"Lawe Tua Persatuan"
1102022018,110202,1102,11,"Lawe Serke"
1102022019,110202,1102,11,"Lawe Rakat"
1102022020,110202,1102,11,"Suka Jaya"
1102022021,110202,1102,11,"Enmiya Batu Dua Ratus"
1102022022,110202,1102,11,Sebungke
1102022023,110202,1102,11,"Bukit Sepakat"
1102022024,110202,1102,11,"Lawe Loning Sepakat"
1102022025,110202,1102,11,"Lawe Loning I"
1102022026,110202,1102,11,"Gaya Jaya"
1102022027,110202,1102,11,"Gelah Musara"
1102022028,110202,1102,11,"Mulie Dame"
1102022029,110202,1102,11,"Lawe Loning Hakhapen"
1102022030,110202,1102,11,"Karya Indah"
1102022031,110202,1102,11,"Kayu Mbelin"
1102022032,110202,1102,11,"Lawe Sigala Barat Jaya"
1102022033,110202,1102,11,"Lawe Pekhidinen"
1102022034,110202,1102,11,Kertimbang
1102022035,110202,1102,11,"Ndauh Nitenggo"
1102032001,110203,1102,11,"Bambel Gabungan"
1102032002,110203,1102,11,Kisam
1102032005,110203,1102,11,"Lawe Hijo"
1102032006,110203,1102,11,Pinding
1102032009,110203,1102,11,"Terutung Megara Asli"
1102032011,110203,1102,11,"Biak Muli"
1102032012,110203,1102,11,"Kute Lang-Lang"
1102032013,110203,1102,11,Pedesi
1102032014,110203,1102,11,"Terutung Payung Hulu"
1102032015,110203,1102,11,"Terutung Payung Hilir"
1102032016,110203,1102,11,"Tualang Sembilar"
1102032017,110203,1102,11,"Kuning I"
1102032018,110203,1102,11,"Kuning II"
1102032019,110203,1102,11,"Cinta Damai"
1102032020,110203,1102,11,Likat
1102032021,110203,1102,11,Rikit
1102032023,110203,1102,11,Bambel
1102032025,110203,1102,11,"Lawe Kihing"
1102032026,110203,1102,11,"Terutung Seperai"
1102032027,110203,1102,11,"Kute Seri"
1102032028,110203,1102,11,"Kuta Antara"
1102032029,110203,1102,11,"Pulo Perengge"
1102032031,110203,1102,11,"Pulo Kendondong"
1102032033,110203,1102,11,"Pancakh Iman"
1102032034,110203,1102,11,"Biak Muli Baru"
1102032035,110203,1102,11,"Biak Muli Pantai Raja"
1102032036,110203,1102,11,"Biak Muli Sejahtera"
1102032037,110203,1102,11,"Lembah Haji"
1102032038,110203,1102,11,"Terutung PayungGabungan"
1102032039,110203,1102,11,"Lawe Hijo Metuah"
1102032040,110203,1102,11,Ampera
1102032041,110203,1102,11,"Tembilakh Mbakhu"
1102032042,110203,1102,11,"Kute Lang-Lang Bakhu"
1102042001,110204,1102,11,"Kota Kutacane"
1102042002,110204,1102,11,"Perapat Hilir"
1102042003,110204,1102,11,"Perapat Hulu"
1102042004,110204,1102,11,"Muara Lawe Bulan"
1102042005,110204,1102,11,Mbarung
1102042006,110204,1102,11,"Batu Mbulan Asli"
1102042007,110204,1102,11,"Batu Mbulan I"
1102042008,110204,1102,11,"Batu Mbulan II"
1102042009,110204,1102,11,"Kampung Raja"
1102042010,110204,1102,11,Pulonas
1102042011,110204,1102,11,"Kampung Melayu Gabungan"
1102042012,110204,1102,11,"Terutung Pedi"
1102042013,110204,1102,11,"Kute Rih"
1102042014,110204,1102,11,"Gumpang Jaya"
1102042015,110204,1102,11,"Pulo Latong"
1102042016,110204,1102,11,"Kutacane Lama"
1102042017,110204,1102,11,"Batu Mbulan Mbaru"
1102042018,110204,1102,11,"Pulo Peding"
1102042019,110204,1102,11,Mendabe
1102042020,110204,1102,11,"Ujung Barat"
1102042021,110204,1102,11,"Pekhapat Titi Panjang"
1102042022,110204,1102,11,"Pekhapat Sepakat"
1102042023,110204,1102,11,"Alas Marantcar"
1102042024,110204,1102,11,"Batu Mbulan Sepakat"
1102042025,110204,1102,11,"Pulo Sanggakh"
1102042026,110204,1102,11,"Melayu I"
1102042027,110204,1102,11,"Mbarung Datuk Saudane"
1102052005,110205,1102,11,"Salang Alas"
1102052009,110205,1102,11,"Kuta Pasir"
1102052011,110205,1102,11,Purwodadi
1102052012,110205,1102,11,"Kuta Tinggi"
1102052013,110205,1102,11,"Kampung Baru"
1102052014,110205,1102,11,Peranginan
1102052015,110205,1102,11,Natam
1102052025,110205,1102,11,"Kumbang Jaya"
1102052026,110205,1102,11,"Kumbang Indah"
1102052027,110205,1102,11,"Natam Baru"
1102052029,110205,1102,11,"Deleng Megakhe"
