code,district_code,regency_code,province_code,name,postal_code
6201011011,620101,6201,62,Candi,74181
6201011012,620101,6201,62,"Kumai Hulu",74181
6201011013,620101,6201,62,"Kumai Hilir",74181
6201012001,620101,6201,62,"Sungai Cabang",74181
6201012002,620101,6201,62,"Teluk Pulai",74181
6201012003,620101,6201,62,Sabuai,74181
6201012004,620101,6201,62,Keraya,74181
6201012005,620101,6201,62,"Teluk Bogam",74181
6201012006,620101,6201,62,"Sungai Bakau",74181
6201012007,620101,6201,62,Kubu,74181
6201012008,620101,6201,62,"Sungai Kapitan",74181
6201012009,620101,6201,62,"Batu Belaman",74181
6201012010,620101,6201,62,"Sungai Tendang",74181
6201012014,620101,6201,62,"Sungai Sekonyer",74181
6201012015,620101,6201,62,"Sungai Bedaun",74181
6201012017,620101,6201,62,"Bumi Harjo",74181
6201012032,620101,6201,62,"Pangkalan Satu",74181
6201012034,620101,6201,62,"Sabuai Timur",74181
6201021002,620102,6201,62,"Mendawai Seberang",74117
6201021003,620102,6201,62,Mendawai,74115
6201021005,620102,6201,62,Madurejo,74112
6201021006,620102,6201,62,Sidorejo,74111
6201021007,620102,6201,62,Raja,74114
6201021008,620102,6201,62,"Raja Seberang",74116
6201021009,620102,6201,62,Baru,74113
6201022001,620102,6201,62,"Tanjung Putri",74117
6201022004,620102,6201,62,"Pasir Panjang",74117
6201022010,620102,6201,62,Rangda,74117
6201022011,620102,6201,62,Kenambui,74117
6201022012,620102,6201,62,Runtu,74117
6201022013,620102,6201,62,Umpang,74117
6201022014,620102,6201,62,"Kumpai Batu Bawah",74117
6201022015,620102,6201,62,"Kumpai Batu Atas",74117
6201022016,620102,6201,62,"Natai Raya",74117
6201022017,620102,6201,62,"Medang Sari",74117
6201022018,620102,6201,62,"Natai Baru",74117
6201022019,620102,6201,62,"Tanjung Terantang",74117
6201022020,620102,6201,62,Sulung,74117
6201031007,620103,6201,62,"Kotawaringin Hulu",74161
6201031008,620103,6201,62,"Kotawaringin Hilir",74161
6201032001,620103,6201,62,"Babual Baboti",74161
6201032002,620103,6201,62,Tempayung,74161
6201032003,620103,6201,62,Sakabulin,74161
6201032004,620103,6201,62,Kinjil,74161
6201032005,620103,6201,62,Dawak,74161
6201032006,620103,6201,62,"Riam Durian",74161
6201032009,620103,6201,62,Lalang,74161
6201032010,620103,6201,62,Rungun,74161
6201032011,620103,6201,62,Kondang,74161
6201032012,620103,6201,62,"Suka Jaya",74161
6201032013,620103,6201,62,"Suka Makmur",74161
6201032014,620103,6201,62,"Sumber Mukti",74161
6201032015,620103,6201,62,"Palih Baru",74161
6201032016,620103,6201,62,"Ipuh Bangun Jaya",74161
6201032017,620103,6201,62,"Sagu Suka Mulya",74161
6201041002,620104,6201,62,Pangkut,74152
6201042001,620104,6201,62,"Nanga Mua",74152
6201042003,620104,6201,62,Sukarami,74152
6201042004,620104,6201,62,Gandis,74152
6201042005,620104,6201,62,Kerabu,74152
6201042006,620104,6201,62,Sambi,74152
6201042007,620104,6201,62,Penyombaan,74152
6201042008,620104,6201,62,Pandau,74152
6201042009,620104,6201,62,Riam,74152
6201042010,620104,6201,62,Panahan,74152
6201042011,620104,6201,62,"Sungai Dau",74152
6201052001,620105,6201,62,"Pangkalan Tiga",74184
6201052002,620105,6201,62,"Pandu Sanjaya",74184
6201052003,620105,6201,62,"Lada Mandala Jaya",74184
6201052004,620105,6201,62,"Makarti Jaya",74184
6201052005,620105,6201,62,"Sumber Agung",74184
6201052006,620105,6201,62,Purbasari,74184
6201052007,620105,6201,62,"Sungai Rangit Jaya",74184
6201052008,620105,6201,62,"Pangkalan Dewa",74184
6201052009,620105,6201,62,"Kadipi Atas",74184
6201052010,620105,6201,62,"Sungai Melawen",74184
6201052011,620105,6201,62,"Pangkalan Durin",74184
6201062001,620106,6201,62,"Pangkalan Banteng",74183
6201062002,620106,6201,62,"Mulya Jadi",74183
6201062003,620106,6201,62,"Karang Mulya",74183
6201062004,620106,6201,62,"Kebun Agung",74183
6201062005,620106,6201,62,"Sido Mulyo",74183
6201062006,620106,6201,62,"Marga Mulya",74183
6201062007,620106,6201,62,"Amin Jaya",74183
6201062008,620106,6201,62,"Arga Mulya",74183
6201062009,620106,6201,62,"Natai Kerbau",74183
6201062010,620106,6201,62,"Simpang Berambai",74183
6201062011,620106,6201,62,"Sungai Hijau",74183
6201062012,620106,6201,62,"Sungai Pakit",74183
6201062013,620106,6201,62,"Berambai Makmur",74183
6201062014,620106,6201,62,"Karang Sari",74183
6201062015,620106,6201,62,"Sungai Pulau",74183
6201062016,620106,6201,62,"Sungai Bengkuang",74183
6201062017,620106,6201,62,"Sungai Kuning",74183
6202011009,620201,6202,62,"Kota Besi Hulu",74353
6202011010,620201,6202,62,"Kota Besi Hilir",74353
6202012003,620201,6202,62,Palangan,74353
6202012004,620201,6202,62,Hanjalipan,74353
6202012005,620201,6202,62,Simpur,74353
6202012006,620201,6202,62,Pamalian,74353
6202012007,620201,6202,62,Camba,74353
6202012008,620201,6202,62,Kandan,74353
6202012012,620201,6202,62,Bajarum,74353
6202012015,620201,6202,62,"Rasau Tumbuh",74353
6202012017,620201,6202,62,Soren,74353
