code,province_code,name,latitude,longitude
8201,82,"Kab. Halmahera Barat",1.0804684023804,127.48015504022
8202,82,"Kab. Halmahera Tengah",0.3304236239764,127.87025115228
8203,82,"Kab. Halmahera Utara",1.7281874362262,127.99219712155
8204,82,"Kab. Halmahera Selatan",-0.64547457036496,127.50498392309
8205,82,"Kab. Kepulauan Sula",-2.0069779241587,125.96414541579
8206,82,"Kab. Halmahera Timur",0.67744346685681,128.28408382485
8207,82,"Kab. Pulau Morotai",2.0132967093802,128.28371761607
8208,82,"Kab. Pulau Taliabu",-1.9474435273584,124.38721613872
8271,82,"Kota Ternate",0.78575139864055,127.38784601087
8272,82,"Kota Tidore Kepulauan",0.67156537999456,127.44672305015
