code,regency_code,province_code,name
950101,9501,95,Wamena
950102,9501,95,Kurulu
950103,9501,95,Asologaima
950104,9501,95,Hubikosi
950105,9501,95,Bolakme
950106,9501,95,Walelagama
950107,9501,95,Musatfak
950108,9501,95,Wolo
950109,9501,95,Asolokobal
950110,9501,95,Pelebaga
950111,9501,95,Yalengga
950112,9501,95,Trikora
950113,9501,95,Napua
950114,9501,95,Walaik
950115,9501,95,Wouma
950116,9501,95,Hubikiak
950117,9501,95,Ibele
950118,9501,95,Taelarek
950119,9501,95,"Itlay Hisage"
950120,9501,95,Siepkosi
950121,9501,95,Usilimo
950122,9501,95,"Wita Waya"
950123,9501,95,Libarek
950124,9501,95,Wadangku
950125,9501,95,Pisugi
950126,9501,95,Koragi
950127,9501,95,Tagime
950128,9501,95,Molagalome
950129,9501,95,Tagineri
950130,9501,95,"Silo Karno Doga"
950131,9501,95,Piramid
950132,9501,95,Muliama
950133,9501,95,Bugi
950134,9501,95,Bpiri
950135,9501,95,Welesi
950136,9501,95,Asotipo
950137,9501,95,Maima
950138,9501,95,Popugoba
950139,9501,95,Wame
950140,9501,95,Wesaput
950201,9502,95,Oksibil
950202,9502,95,Kiwirok
950203,9502,95,Okbibab
950204,9502,95,Iwur
950205,9502,95,Batom
950206,9502,95,Borme
950207,9502,95,"Kiwirok Timur"
950208,9502,95,Aboy
950209,9502,95,Pepera
950210,9502,95,Bime
950211,9502,95,Alemsom
950212,9502,95,Okbape
950213,9502,95,Kalomdol
950214,9502,95,Oksop
950215,9502,95,Serambakon
950216,9502,95,"Ok Aom"
950217,9502,95,Kawor
950218,9502,95,Awinbon
950219,9502,95,Tarup
950220,9502,95,Okhika
950221,9502,95,Oksamol
950222,9502,95,Oklip
950223,9502,95,Okbemtau
950224,9502,95,Oksebang
950225,9502,95,Okbab
950226,9502,95,Batani
950227,9502,95,Weime
950228,9502,95,Murkim
950229,9502,95,Mofinop
950230,9502,95,Jetfa
950231,9502,95,Teiraplu
950232,9502,95,Eipumek
950233,9502,95,Pamek
950234,9502,95,Nongme
950301,9503,95,Kurima
950302,9503,95,Anggruk
950303,9503,95,Ninia
950304,9503,95,Silimo
950305,9503,95,Samenage
950306,9503,95,Nalca
950307,9503,95,Dekai
950308,9503,95,Obio
950309,9503,95,"Suru Suru"
950310,9503,95,Wusama
950311,9503,95,Amuma
950312,9503,95,Musaik
950313,9503,95,Pasema
950314,9503,95,Hogio
950315,9503,95,Mugi
950316,9503,95,Soba
950317,9503,95,Werima
950318,9503,95,Tangma
950319,9503,95,Ukha
950320,9503,95,Panggema
950321,9503,95,Kosarek
950322,9503,95,Nipsan
950323,9503,95,Ubahak
950324,9503,95,Pronggoli
950325,9503,95,Walma
950326,9503,95,Yahuliambut
950327,9503,95,Hereapini
950328,9503,95,Ubalihi
950329,9503,95,Talambo
950330,9503,95,Puldama
950331,9503,95,Endomen
950332,9503,95,Kona
950333,9503,95,Dirwemna
950334,9503,95,Holuon
950335,9503,95,Lolat
950336,9503,95,Soloikma
950337,9503,95,Sela
950338,9503,95,Korupun
950339,9503,95,Langda
950340,9503,95,Bomela
950341,9503,95,Suntamon
950342,9503,95,Seradala
950343,9503,95,Sobaham
950344,9503,95,Kabianggama
950345,9503,95,Kwelamdua
950346,9503,95,Kwikma
950347,9503,95,Hilipuk
950348,9503,95,Duram
950349,9503,95,Yogosem
950350,9503,95,Kayo
950351,9503,95,Sumo
950401,9504,95,Karubaga
950402,9504,95,Bokondini
950403,9504,95,Kanggime
950404,9504,95,Kembu
950405,9504,95,Goyage
950406,9504,95,Wunim
950407,9504,95,Wina
950408,9504,95,Umagi
950409,9504,95,Panaga
950410,9504,95,Woniki
950411,9504,95,Kubu
950412,9504,95,"Konda/ Kondaga"
950413,9504,95,Nelawi
950414,9504,95,Kuari
950415,9504,95,Bokoneri
950416,9504,95,Bewani
950417,9504,95,Nabunage
950418,9504,95,Gilubandu
950419,9504,95,Nunggawi
950420,9504,95,Gundagi
950421,9504,95,Numba
950422,9504,95,Timori
950423,9504,95,Dundu
950424,9504,95,Geya
950425,9504,95,Egiam
950426,9504,95,Poganeri
950427,9504,95,Kamboneri
950428,9504,95,Airgaram
950429,9504,95,"Wari/Taiyeve II"
950430,9504,95,Dow
950431,9504,95,Tagineri
950432,9504,95,Yuneri
950433,9504,95,Wakuwo
950434,9504,95,Gika
950435,9504,95,Telenggeme
950436,9504,95,Anawi
950437,9504,95,Wenam
950438,9504,95,Wugi
950439,9504,95,Danime
950440,9504,95,Tagime
950441,9504,95,Kai
950442,9504,95,Aweku
950443,9504,95,Bogonuk
950444,9504,95,"Li Anogomma"
950445,9504,95,Biuk
950446,9504,95,Yuko
950501,9505,95,Kobakma
950502,9505,95,Kelila
950503,9505,95,Eragayam
950504,9505,95,Megambilis
950505,9505,95,Ilugwa
950601,9506,95,Elelim
950602,9506,95,Apalapsili
950603,9506,95,Abenaho
950604,9506,95,Benawa
950605,9506,95,Welarek
950701,9507,95,Tiom
950702,9507,95,Pirime
950703,9507,95,Makki
950704,9507,95,Gamelia
950705,9507,95,Dimba
950706,9507,95,Melagineri
950707,9507,95,Balingga
950708,9507,95,Tiomneri
950709,9507,95,Kuyawage
950710,9507,95,Poga
950711,9507,95,Niname
950712,9507,95,Nogi
950713,9507,95,Yiginua
950714,9507,95,"Tiom Ollo"
950715,9507,95,Yugungwi
950716,9507,95,Mokoni
950717,9507,95,Wereka
950718,9507,95,Milimbo
950719,9507,95,Wiringgambut
950720,9507,95,Gollo
950721,9507,95,Awina
950722,9507,95,Ayumnati
950723,9507,95,"Wano Barat"
950724,9507,95,"Goa Balim"
950725,9507,95,Bruwa
950726,9507,95,"Balingga Barat"
950727,9507,95,Gupura
950728,9507,95,Kolawa
950729,9507,95,"Gelok Beam"
950730,9507,95,"Kuly Lanny"
950731,9507,95,Lannyna
950732,9507,95,Karu
950733,9507,95,Yiluk
950734,9507,95,Guna
950735,9507,95,Kelulome
950736,9507,95,Nikogwe
950737,9507,95,Muara
950738,9507,95,"Buguk Gona"
950739,9507,95,Melagi
950801,9508,95,Kenyam
950802,9508,95,Mapenduma
950803,9508,95,Yigi
950804,9508,95,Wosak
950805,9508,95,Geselma
950806,9508,95,Mugi
950807,9508,95,Mbuwa
950808,9508,95,Gearek
950809,9508,95,Koroptak
950810,9508,95,Kegayem
950811,9508,95,Paro
950812,9508,95,Mebarok
950813,9508,95,Yenggelo
950814,9508,95,Kilmid
950815,9508,95,Alama
950816,9508,95,Yal
950817,9508,95,Mam
950818,9508,95,Dal
950819,9508,95,Nirkuri
950820,9508,95,Inikgal
950821,9508,95,Iniye
950822,9508,95,"Mbulmu Yalma"
950823,9508,95,"Mbua Tengah"
950824,9508,95,Embetpen
950825,9508,95,Kora
950826,9508,95,Wusi
950827,9508,95,Pija
950828,9508,95,Moba
950829,9508,95,Wutpaga
950830,9508,95,Nenggeagin
950831,9508,95,Krepkuri
950832,9508,95,"Pasir Putih"
